Park,Best_Model,Forecast_Month,Predicted_Visits
Bent's Old Fort NHS,ETS,2025-05-01,2593.1827204027113
Bent's Old Fort NHS,ETS,2025-06-01,2219.632626103228
Bent's Old Fort NHS,ETS,2025-07-01,2081.1950435078925
Bent's Old Fort NHS,ETS,2025-08-01,1461.1001064980812
Bent's Old Fort NHS,ETS,2025-09-01,2023.9054163251867
Bent's Old Fort NHS,ETS,2025-10-01,1114.3902641962054
Bent's Old Fort NHS,ETS,2025-11-01,251.63040820704953
Bent's Old Fort NHS,ETS,2025-12-01,16.48727135750596
Bering Land Bridge NPRES,SARIMA,2025-01-01,260.02722736554057
Bering Land Bridge NPRES,SARIMA,2025-02-01,127.07094602900057
Bering Land Bridge NPRES,SARIMA,2025-03-01,292.0550970394707
Bering Land Bridge NPRES,SARIMA,2025-04-01,216.05626761075825
Bering Land Bridge NPRES,SARIMA,2025-05-01,172.05061673909634
Bering Land Bridge NPRES,SARIMA,2025-06-01,148.06878653631253
Bering Land Bridge NPRES,SARIMA,2025-07-01,438.00446585110734
Bering Land Bridge NPRES,SARIMA,2025-08-01,156.08944759031118
Bering Land Bridge NPRES,SARIMA,2025-09-01,61.11630643864029
Bering Land Bridge NPRES,SARIMA,2025-10-01,421.9963409678069
Bering Land Bridge NPRES,SARIMA,2025-11-01,182.06170679422067
Bering Land Bridge NPRES,SARIMA,2025-12-01,168.04517540621288
Big Bend NP,ETS,2025-01-01,47496.79667191932
Big Bend NP,ETS,2025-02-01,52083.91198686101
Big Bend NP,ETS,2025-03-01,88926.02625820966
Big Bend NP,ETS,2025-04-01,61713.88212661003
Big Bend NP,ETS,2025-05-01,40847.82502773092
Big Bend NP,ETS,2025-06-01,27402.785282885125
Big Bend NP,ETS,2025-07-01,22480.061210359658
Big Bend NP,ETS,2025-08-01,21191.21963195485
Big Bend NP,ETS,2025-09-01,29805.550553007077
Big Bend NP,ETS,2025-10-01,50831.960243833135
Big Bend NP,ETS,2025-11-01,62544.85734286318
Big Bend NP,ETS,2025-12-01,56284.61906718895
Big Cypress NPRES,ETS,2025-01-01,286205.72790994844
Big Cypress NPRES,ETS,2025-02-01,311316.57667798654
Big Cypress NPRES,ETS,2025-03-01,297077.28102196753
Big Cypress NPRES,ETS,2025-04-01,216423.6129210668
Big Cypress NPRES,ETS,2025-05-01,186818.49798424414
Big Cypress NPRES,ETS,2025-06-01,186175.63117118622
Big Cypress NPRES,ETS,2025-07-01,180811.3595382986
Big Cypress NPRES,ETS,2025-08-01,185526.13244264055
