Park,Best_Model,Forecast_Month,Predicted_Visits,Unit Code,Park Type,Region,State,Year,Month,_source_file
Acadia NP,SARIMA,01-06-2026,592256,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-07-2026,792875,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-08-2026,808785,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-09-2026,666714,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-10-2026,568420,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-11-2026,102730,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-12-2026,47357,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-01-2027,48768,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-02-2027,50211,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-03-2027,64576,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-04-2027,132734,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-05-2027,340364,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-06-2027,599845,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-07-2027,800955,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-08-2027,817617,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-09-2027,675996,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-10-2027,576205,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-11-2027,112342,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-12-2027,57386,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-01-2028,58530,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-02-2028,59831,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-03-2028,74106,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-04-2028,142128,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-05-2028,349296,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-06-2028,608325,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-07-2028,809588,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-08-2028,826482,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-09-2028,685002,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-10-2028,584746,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-11-2028,121450,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
Acadia NP,SARIMA,01-12-2028,66623,ACAD,National Park,Northeast,ME,1979,1,Acadia_recreation_NP_visits.xlsx
