																					
Park	Unit Code	Park Type	Region	State	Year	Month	Recreation Visits																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1993	1	28,740																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1993	2	41,843																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1993	3	79,342																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1993	4	158,472																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1993	5	144,499																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1993	6	126,327																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1993	7	84,695																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1993	8	79,794																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1993	9	34,082																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1993	10	68,033																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1993	11	51,070																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1993	12	45,209																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1994	1	11,949																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1994	2	40,547																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1994	3	110,292																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1994	4	164,187																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1994	5	146,423																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1994	6	138,898																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1994	7	99,532																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1994	8	66,912																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1994	9	42,453																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1994	10	74,820																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1994	11	49,453																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1994	12	50,913																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1995	1	19,213																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1995	2	38,716																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1995	3	140,837																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1995	4	180,098																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1995	5	163,841																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1995	6	141,042																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1995	7	83,938																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1995	8	68,676																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1995	9	41,462																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1995	10	73,965																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1995	11	38,609																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1995	12	35,592																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1996	1	10,221																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1996	2	42,496																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1996	3	126,946																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1996	4	164,332																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1996	5	189,984																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1996	6	133,497																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1996	7	76,695																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1996	8	52,063																		
Ford's Theatre NHS	FOTH	National Historic Site	National Capital 	DC	1996	9	30,973																		
